day;month;year;objective;Spend;Impressions;Reach;Frequency;Clicks;CTR;PageView;LeadTotal
2;12;2023;1;20,9;1397;1370;1,02;14;1;2;4
2;12;2023;1;0,15;14;14;1;0;0;0;0
2;12;2023;1;0,3;12;10;1,2;2;16,67;0;1
2;12;2023;1;88,91;3066;2852;1,08;51;1,66;8;10
2;12;2023;1;0,76;63;55;1,15;0;0;0;0
2;12;2023;1;1,05;70;70;1;0;0;0;0
2;12;2023;1;0,43;37;34;1,09;0;0;0;0
2;12;2023;2;0,07;6;6;1;0;0;0;0
2;12;2023;2;0,84;27;27;1;1;3,7;0;0
2;12;2023;2;12,58;611;588;1,04;3;0,49;0;0
2;12;2023;2;0,8;18;17;1,06;0;0;0;0
2;12;2023;2;2,99;178;163;1,09;2;1,12;0;0
2;12;2023;2;44,51;2505;2354;1,06;21;0,84;0;0
2;12;2023;2;1;64;56;1,14;0;0;0;0
2;12;2023;3;0,18;2;2;1;0;0;0;0
2;12;2023;3;39,93;3077;3001;1,03;35;1,14;2;6
2;12;2023;3;0,18;16;16;1;0;0;0;0
2;12;2023;3;29,2;1281;1225;1,05;15;1,17;1;4
2;12;2023;3;25,37;1353;1340;1,01;21;1,55;2;4
2;12;2023;3;9,89;687;649;1,06;14;2,04;0;0
2;12;2023;3;30,35;1244;1219;1,02;37;2,97;4;9
2;12;2023;3;4,62;377;357;1,06;4;1,06;0;0
2;12;2023;3;30,53;1842;1761;1,05;32;1,74;1;6
2;12;2023;3;0,04;3;3;1;1;33,33;0;0
2;12;2023;3;20,4;1307;1286;1,02;18;1,38;5;7
2;12;2023;3;40,72;2829;2767;1,02;40;1,41;1;12
2;12;2023;3;29,81;1771;1711;1,04;23;1,3;1;5
2;12;2023;3;0,44;7;7;1;0;0;0;0
2;12;2023;3;28,91;1851;1728;1,07;18;0,97;4;4
2;12;2023;3;24,84;1156;1124;1,03;19;1,64;2;3
2;12;2023;3;19,41;606;590;1,03;5;0,83;1;1
2;12;2023;3;29,66;1365;1326;1,03;26;1,9;1;2
2;12;2023;3;20,73;856;820;1,04;15;1,75;1;4
2;12;2023;3;19,27;852;812;1,05;12;1,41;0;1
2;12;2023;3;0,05;3;3;1;0;0;0;0
2;12;2023;3;0,08;5;4;1,25;0;0;0;0
2;12;2023;3;35,05;1484;1396;1,06;19;1,28;2;3
3;12;2023;1;40,79;2822;2768;1,02;47;1,67;5;10
3;12;2023;1;101,09;5880;5730;1,03;91;1,55;7;19
3;12;2023;1;0,16;11;11;1;0;0;0;0
3;12;2023;1;0,23;17;17;1;0;0;0;0
3;12;2023;1;2,22;152;142;1,07;0;0;0;0
3;12;2023;1;131,98;7370;6909;1,07;93;1,26;7;19
3;12;2023;1;1,12;69;68;1,01;0;0;0;0
3;12;2023;1;0,53;21;21;1;0;0;0;0
3;12;2023;1;6,88;478;459;1,04;4;0,84;0;0
3;12;2023;1;105,95;6565;6374;1,03;70;1,07;9;15
3;12;2023;1;0,01;3;3;1;0;0;0;0
3;12;2023;1;0,29;12;12;1;1;8,33;0;0
3;12;2023;1;28,49;1929;1878;1,03;20;1,04;0;3
3;12;2023;1;0,02;3;3;1;0;0;0;0
3;12;2023;1;23,53;1532;1498;1,02;25;1,63;3;5
3;12;2023;1;0,42;22;19;1,16;0;0;0;0
3;12;2023;1;0,69;37;36;1,03;0;0;0;0
3;12;2023;1;89,79;3180;2958;1,08;59;1,86;5;12
3;12;2023;1;0,6;49;48;1,02;0;0;0;0
3;12;2023;1;3,54;175;169;1,04;0;0;0;0
3;12;2023;1;0,72;70;60;1,17;0;0;0;0
3;12;2023;2;0,04;5;5;1;0;0;0;0
3;12;2023;2;0,14;2;2;1;0;0;0;0
3;12;2023;2;8,25;516;499;1,03;1;0,19;0;0
3;12;2023;2;0,35;5;5;1;0;0;0;0
3;12;2023;2;3,91;332;316;1,05;4;1,2;0;0
3;12;2023;2;50,13;3002;2813;1,07;33;1,1;0;0
3;12;2023;2;0,63;38;36;1,06;2;5,26;0;0
3;12;2023;3;0,03;31;31;1;0;0;0;0
3;12;2023;3;42,4;3421;3325;1,03;30;0,88;5;6
3;12;2023;3;1,96;88;85;1,04;1;1,14;0;0
3;12;2023;3;0,37;19;19;1;1;5,26;0;0
3;12;2023;3;29,69;1465;1398;1,05;28;1,91;5;6
3;12;2023;3;27,76;1522;1509;1,01;26;1,71;2;7
3;12;2023;3;9,75;905;865;1,05;9;0,99;0;2
3;12;2023;3;31,99;1608;1571;1,02;35;2,18;2;7
3;12;2023;3;5,04;413;397;1,04;6;1,45;0;1
3;12;2023;3;0,01;6;6;1;0;0;0;0
3;12;2023;3;31,71;2101;2042;1,03;33;1,57;0;5
3;12;2023;3;21,42;1452;1432;1,01;20;1,38;1;6
3;12;2023;3;42,35;3261;3185;1,02;43;1,32;3;10
3;12;2023;3;0,09;2;2;1;2;100;1;1
3;12;2023;3;0,22;2;2;1;0;0;0;0
3;12;2023;3;31,95;1896;1817;1,04;25;1,32;2;6
3;12;2023;3;0,03;1;1;1;0;0;0;0
3;12;2023;3;0,27;7;7;1;0;0;0;0
3;12;2023;3;31,96;2105;2011;1,05;22;1,05;3;3
3;12;2023;3;26,42;1268;1240;1,02;19;1,5;1;4
3;12;2023;3;21,42;680;661;1,03;11;1,62;1;2
3;12;2023;3;31,9;1365;1321;1,03;46;3,37;7;12
